Dataset Name,Image File,Image Name
SupplementaryFigure08,MoNoc.Washout.Embryo2.iRFP.Cam_Right_00061.tif,MoNoc.Washout.Embryo2.pattern
Figure02,Embryo07.iRFP.Cam_Right_00111.tif,Embryo07.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo1.EGFP.Cam_Right_00039.tif,NocMo.Nocodazole.Embryo1.pattern
Figure01A,Embryo12.EGFP.Cam_Right_00235.tif,Embryo12.pattern
Figure02,Embryo03.EGFP.Cam_Right_00138.tif,Embryo03.pattern
SupplementaryFigure08,NocMo.Washout.Embryo2.iRFP.Cam_Right_00068.tif,NocMo.Washout.Embryo2.pattern
Figure01A,Embryo9.EGFP.Cam_Right_00141.tif,Embryo9.pattern
Figure03,Embryo17.Position_0.stack_0.mCherry.Cam_Right_00072.tif,Embryo17.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo3.mCherry.Cam_Right_00004.tif,MoNoc.Washout.Embryo3.pattern
Figure03,Embryo02.Position_0.stack_0.EGFP.Cam_Right_00073.tif,Embryo02.pattern
SupplementaryFigure05,Metaphase1.Cam_Right_00000 (16)-Enhancement Filter 2_T050_Z003_C01.tif,Metaphase1.pattern
Figure02,Embryo03.iRFP.Cam_Right_00197.tif,Embryo03.pattern
Figure01A,Embryo1.mCherry.Cam_Right_00268.tif,Embryo1.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo2.EGFP.Cam_Right_00002.tif,MoNoc.Washout.Embryo2.pattern
SupplementaryFigure05,Metaphase1.Cam_Right_00000 (16)-Enhancement Filter 2_T053_Z001_C01.tif,Metaphase1.pattern
SupplementaryFigure05,Metaphase1.Cam_Right_00000 (16)-Enhancement Filter 2_T004_Z005_C01.tif,Metaphase1.pattern
SupplementaryFigure05,Metaphase3.Cam_Right_00000 (5)-Enhancement Filter_T003_Z004_C01.tif,Metaphase3.pattern
SupplementaryFigure05,Prometaphase3.Cam_Right_00000 (12)-Enhancement Filter_T027_Z005_C01.tif,Prometaphase3.pattern
Figure01A,Embryo5.EGFP.Cam_Right_00056.tif,Embryo5.pattern
Figure03,Embryo05.Position_0.stack_0.mCherry.Cam_Right_00017.tif,Embryo05.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo2.mCherry.Cam_Right_00084.tif,MoNoc.Washout.Embryo2.pattern
Figure01A,Embryo3.EGFP.Cam_Right_00187.tif,Embryo3.pattern
Figure03,Embryo09.Position_0.stack_0.mCherry.Cam_Right_00057.tif,Embryo09.pattern
Figure03,Embryo15.Position_0.stack_0.EGFP.Cam_Right_00069.tif,Embryo15.pattern
SupplementaryFigure05,Prometaphase3.Cam_Right_00000 (12)-Enhancement Filter_T044_Z001_C01.tif,Prometaphase3.pattern
Figure02,Embryo05.EGFP.Cam_Right_00266.tif,Embryo05.pattern
SupplementaryFigure01,Embryo7.EGFP.000092_00.tif,Embryo7.pattern
Figure02,Embryo02.EGFP.Cam_Right_00154.tif,Embryo02.pattern
Figure02,Embryo09.EGFP.Cam_Right_00004.tif,Embryo09.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo3.iRFP.Cam_Right_00133.tif,MoNoc.Washout.Embryo3.pattern
SupplementaryFigure01,Embryo17.mCherry.000014_00.tif,Embryo17.pattern
Figure02,Embryo12.EGFP.Cam_Right_00056.tif,Embryo12.pattern
Figure03,Embryo15.Position_0.stack_0.mCherry.Cam_Right_00022.tif,Embryo15.pattern
SupplementaryFigure01,Embryo13.iRFP.000005_00.tif,Embryo13.pattern
SupplementaryFigure08,NocMo.Washout.Embryo2.iRFP.Cam_Right_00021.tif,NocMo.Washout.Embryo2.pattern
SupplementaryFigure01,Embryo18.mCherry.000011_00.tif,Embryo18.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo2.mCherry.Cam_Right_00019.tif,NocMo.Nocodazole.Embryo2.pattern
SupplementaryFigure01,Embryo3.mCherry.000046_00.tif,Embryo3.pattern
Figure03,Embryo10.Position_0.stack_0.EGFP.Cam_Right_00007.tif,Embryo10.pattern
SupplementaryFigure08,NocMo.Monastrol.Embryo1.EGFP.Cam_Right_00005.tif,NocMo.Monastrol.Embryo1.pattern
SupplementaryFigure10A,MoNoc.8_Cell.06.tif,MoNoc.8_Cell.pattern
Figure03,Embryo09.Position_0.stack_0.EGFP.Cam_Right_00036.tif,Embryo09.pattern
Figure03,Embryo15.Position_0.stack_0.EGFP.Cam_Right_00022.tif,Embryo15.pattern
SupplementaryFigure01,Embryo11.EGFP.000042_00.tif,Embryo11.pattern
SupplementaryFigure01,Embryo10.EGFP.000056_00.tif,Embryo10.pattern
SupplementaryFigure05,Metaphase2.Cam_Right_00000 (4)-Enhancement Filter_T032_Z001_C01.tif,Metaphase2.pattern
SupplementaryFigure10B,NocMo.8_Cell.14.tif,NocMo.8_Cell.pattern
Figure02,Embryo07.mCherry.Cam_Right_00134.tif,Embryo07.pattern
Figure02,Embryo08.mCherry.Cam_Right_00261.tif,Embryo08.pattern
SupplementaryFigure01,Embryo13.EGFP.000004_00.tif,Embryo13.pattern
Figure01A,Embryo11.EGFP.Cam_Right_00087.tif,Embryo11.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo1.iRFP.Cam_Right_00128.tif,MoNoc.Washout.Embryo1.pattern
Figure02,Embryo07.EGFP.Cam_Right_00000.tif,Embryo07.pattern
SupplementaryFigure01,Embryo9.mCherry.000036_00.tif,Embryo9.pattern
SupplementaryFigure05,Prometaphase2.Cam_Right_00000 (9)-Enhancement Filter_T016_Z002_C01.tif,Prometaphase2.pattern
Figure02,Embryo11.iRFP.Cam_Right_00183.tif,Embryo11.pattern
SupplementaryFigure01,Embryo5.mCherry.000040_00.tif,Embryo5.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo1.mCherry.Cam_Right_00052.tif,NocMo.Nocodazole.Embryo1.pattern
Figure02,Embryo09.mCherry.Cam_Right_00041.tif,Embryo09.pattern
SupplementaryFigure05,Prometaphase1.Cam_Right_00000 (25)-Enhancement Filter_T025_Z004_C01.tif,Prometaphase1.pattern
Figure02,Embryo01.iRFP.Cam_Right_00281.tif,Embryo01.pattern
Figure02,Embryo02.mCherry.Cam_Right_00142.tif,Embryo02.pattern
Figure02,Embryo10.EGFP.Cam_Right_00052.tif,Embryo10.pattern
Figure01A,Embryo3.EGFP.Cam_Right_00140.tif,Embryo3.pattern
Figure01A,Embryo1.EGFP.Cam_Right_00183.tif,Embryo1.pattern
SupplementaryFigure06A,4Cell.Cell10-1.Position_0.stack_0.mCherry.Ext.000239_00.tif,4Cell.Cell10-1.Position_0.stack_0.Ext.T000239_00.pattern
Figure02,Embryo05.EGFP.Cam_Right_00178.tif,Embryo05.pattern
Figure02,Embryo10.EGFP.Cam_Right_00099.tif,Embryo10.pattern
Figure02,Embryo09.EGFP.Cam_Right_00099.tif,Embryo09.pattern
Figure01A,Embryo1.EGFP.Cam_Right_00223.tif,Embryo1.pattern
Figure01A,Embryo7.mCherry.Cam_Right_00088.tif,Embryo7.pattern
Figure01A,Embryo2.mCherry.Cam_Right_00096.tif,Embryo2.pattern
Figure02,Embryo12.EGFP.Cam_Right_00144.tif,Embryo12.pattern
Figure01A,Embryo5.EGFP.Cam_Right_00144.tif,Embryo5.pattern
Figure03,Embryo13.Position_0.stack_0.EGFP.Cam_Right_00037.tif,Embryo13.pattern
Figure03,Embryo16.Position_0.stack_0.mCherry.Cam_Right_00053.tif,Embryo16.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo2.iRFP.Cam_Right_00025.tif,MoNoc.Washout.Embryo2.pattern
Figure02,Embryo11.mCherry.Cam_Right_00091.tif,Embryo11.pattern
SupplementaryFigure05,Metaphase1.Cam_Right_00000 (16)-Enhancement Filter 2_T036_Z005_C01.tif,Metaphase1.pattern
SupplementaryFigure01,Embryo7.iRFP.000023_00.tif,Embryo7.pattern
SupplementaryFigure08,NocMo.Washout.Embryo2.mCherry.Cam_Right_00103.tif,NocMo.Washout.Embryo2.pattern
Figure02,Embryo11.EGFP.Cam_Right_00160.tif,Embryo11.pattern
SupplementaryFigure01,Embryo18.iRFP.000041_00.tif,Embryo18.pattern
SupplementaryFigure05,Metaphase3.Cam_Right_00000 (5)-Enhancement Filter_T035_Z004_C01.tif,Metaphase3.pattern
Figure02,Embryo09.iRFP.Cam_Right_00151.tif,Embryo09.pattern
Figure02,Embryo10.iRFP.Cam_Right_00075.tif,Embryo10.pattern
Figure03,Embryo06.Position_0.stack_0.EGFP.Cam_Right_00077.tif,Embryo06.pattern
SupplementaryFigure10A,MoNoc.2_Cell.13.tif,MoNoc.2_Cell.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo1.EGFP.Cam_Right_00117.tif,MoNoc.Washout.Embryo1.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo1.mCherry.Cam_Right_00045.tif,MoNoc.Washout.Embryo1.pattern
Figure02,Embryo07.iRFP.Cam_Right_00023.tif,Embryo07.pattern
Figure02,Embryo10.EGFP.Cam_Right_00140.tif,Embryo10.pattern
Figure01A,Embryo3.mCherry.Cam_Right_00175.tif,Embryo3.pattern
Figure02,Embryo05.mCherry.Cam_Right_00227.tif,Embryo05.pattern
